6QY8AH,No achieved good IAQ,0.0,0.1,0.0001,0.001,03HY55,reward not increase,0.0,0.1,0.0001,0.001,0.01,20,0.005,10,3,5
NSCERM,reward not increase,0.0,0.1,0.0001,0.001,0.01,20,0.005,10,3,5
FEO64T,reward not increase,0.0,0.1,0.0001,0.001,0.01,20,0.005,10,3,5
OR1EIK,reward not increase,0.0,0.1,0.0001,0.001,0.01,20,0.005,10,3,5
XJQU32,reward not increase,0.0,0.1,0.0001,0.001,0.01,20,0.005,10,3,5
L8PVTH,reward not increase,0.0,0.1,0.0001,0.001,0.01,20,0.005,10,3,5
12LWFL,reward not increase,0.0,0.1,0.0001,0.001,0.01,20,0.005,5,10,3,5
U6ISMF,NaN,0.0,0.1,0.0001,0.001,0.01,20,0.005,5,10,3,5
B5MDDE,reward not increase,0.0,0.1,0.0001,0.001,0.01,20,0.005,5,10,3,5
CO5VBX,reward not increase,0.0,0.1,0.0001,0.001,0.01,20,0.005,5,10,3,5
98I2NU,Fail to write report,300,64,0.0001,0.001,0.9,5,8,1,1,10,10,0.2
W8M3OV,Achieve epoch,300,64,0.0001,0.001,0.9,5,8,1,1,10,10,0.2
Y87MT0,Achieve epoch,300,64,0.0001,0.001,0.9,5,8,1,1,10,10,0.2
E1XPWG,Achieve epoch,300,64,0.0001,0.001,0.95,5,8,1,1,10,10,0.2,0.3
Y0YF4K,Achieve epoch,1000,128,0.0001,0.001,0.95,5,8,1,1,10,10,0.2,0.3
N6RHSN,Achieve epoch,1000,128,0.0001,0.001,0.95,5,8,1,1,10,10,0.2,0.3
6L003Y,Achieve epoch,1000,128,0.0001,0.001,0.95,5,8,1,1,10,10,0.2,0.3
CGRQD4,Achieve epoch,1000,128,0.0001,0.001,0.95,5,8,1,1,10,10,0.2,0.3
86BS2A,Achieve epoch,1000,128,0.0001,0.001,0.95,5,8,1,1,10,10,0.2,0.3
SPIDK3,Achieve epoch,1000,128,0.0001,0.001,0.95,5,8,1,1,10,10,0.2,0.3
9BUI54,Achieve epoch,500,128,0.0001,0.001,0.95,5,8,1,1,10,10,0.2,0.3
T88R7B,Achieve epoch,1000,128,0.0001,0.001,0.95,5,8,1,1,10,10,0.2,0.3
MRT7YY,Achieve epoch,1000,128,0.0001,0.001,0.95,6,8,1,1,10,10,0.2,0.3
HD3A1I,Achieve epoch,1000,128,0.0001,0.001,0.95,6,8,1,1,10,10,0.2,0.3
ZMJ32S,Achieve epoch,1000,128,0.0001,0.001,0.95,6,8,1,1,10,10,0.2,0.3
AK309S,Achieve epoch,1000,128,0.0001,0.001,0.95,6,8,1,1,10,10,0.2,0.3
O5F7GM,Achieve epoch,1000,128,0.0001,0.001,0.95,6,8,1,1,10,10,0.2,0.3
